Wall time,Step,Value
1770127947.2417247,10,-146.17198181152344
1770127953.0493503,20,-155.51324462890625
1770127958.8773801,30,-153.97218322753906
1770127965.4907115,40,-152.68592834472656
1770127972.6068885,50,-153.40440368652344
1770127979.6249719,60,-153.41444396972656
1770127986.6642902,70,-149.9799041748047
1770127993.795805,80,-150.44781494140625
1770128000.6749744,90,-157.1336212158203
1770128007.7016222,100,-150.64068603515625
1770128014.6697104,110,-149.55885314941406
1770128021.561795,120,-151.39776611328125
1770128028.4963076,130,-147.72103881835938
1770128035.3181736,140,-150.99209594726562
1770128042.00787,150,-150.3382568359375
1770128048.7987206,160,-149.97036743164062
1770128055.557311,170,-146.8997039794922
1770128062.4737656,180,-146.2967987060547
1770128069.8722951,190,-146.430908203125
1770128077.531479,200,-151.310302734375
1770128085.04747,210,-148.37942504882812
1770128092.5668328,220,-143.2147216796875
1770128100.0250537,230,-144.23092651367188
1770128107.5938482,240,-143.01971435546875
1770128115.0767403,250,-142.88009643554688
1770128122.7147732,260,-143.07936096191406
1770128130.338842,270,-144.0899658203125
1770128137.7914605,280,-144.74227905273438
1770128145.3515334,290,-143.6273193359375
1770128152.8249705,300,-141.21237182617188
1770128160.383852,310,-140.31033325195312
1770128168.0035098,320,-139.30364990234375
1770128175.4750144,330,-141.06858825683594
1770128183.0670893,340,-140.4389190673828
1770128190.5681202,350,-137.8184356689453
1770128198.0536394,360,-138.72128295898438
1770128205.6163712,370,-137.13475036621094
1770128213.2415128,380,-134.4706268310547
1770128220.8784401,390,-133.53399658203125
1770128228.5157146,400,-134.1769256591797
1770128236.0826406,410,-130.38070678710938
1770128243.6977248,420,-130.7657012939453
1770128251.1580877,430,-132.1640625
1770128258.6676154,440,-129.15200805664062
1770128266.3134618,450,-127.77397155761719
1770128273.8445246,460,-128.2189483642578
1770128281.438559,470,-127.1212158203125
1770128289.0196874,480,-126.05934143066406
1770128296.7240105,490,-123.29840087890625
1770128304.3822215,500,-124.94857025146484
1770128311.8827808,510,-122.09455108642578
1770128319.392082,520,-125.28498840332031
1770128326.8377357,530,-122.0395278930664
1770128334.449208,540,-120.02449798583984
1770128341.9695857,550,-118.00025939941406
1770128349.6016757,560,-118.8131332397461
1770128357.1889062,570,-118.33611297607422
1770128364.8464348,580,-117.51910400390625
1770128372.3733802,590,-117.66495513916016
1770128379.896816,600,-116.23302459716797
1770128387.4448235,610,-115.13970184326172
1770128394.9281936,620,-115.9468002319336
1770128402.3461483,630,-112.64508056640625
1770128409.847099,640,-114.42849731445312
1770128417.394759,650,-112.73833465576172
1770128424.98343,660,-113.01446533203125
1770128432.474947,670,-109.61380004882812
1770128440.1098087,680,-110.76542663574219
1770128447.6129713,690,-111.40926361083984
1770128455.0989559,700,-109.35227966308594
