Wall time,Step,Value
1770106621.140403,10,-107.87116241455078
1770106626.1456976,20,-111.89411926269531
1770106631.1238697,30,-111.48271942138672
1770106636.1385477,40,-109.87149047851562
1770106641.1039622,50,-111.91612243652344
1770106646.0945518,60,-110.87553405761719
1770106651.0447304,70,-107.41475677490234
1770106655.9412324,80,-109.98006439208984
1770106660.8005235,90,-111.76789855957031
1770106665.773056,100,-108.47752380371094
1770106670.547537,110,-109.52911376953125
1770106675.457847,120,-107.71244049072266
1770106680.458146,130,-107.24903106689453
1770106685.393419,140,-107.75489807128906
1770106690.2228065,150,-106.11408996582031
1770106695.1183386,160,-108.62538146972656
1770106700.037604,170,-107.15855407714844
1770106704.9863522,180,-105.38951873779297
1770106709.8798707,190,-105.0759048461914
1770106714.8571582,200,-110.2352066040039
1770106719.6857848,210,-107.09564208984375
1770106724.520008,220,-105.32605743408203
1770106729.5052152,230,-103.5956039428711
1770106734.39861,240,-106.85626220703125
1770106739.304868,250,-102.74607849121094
1770106744.2040946,260,-103.08654022216797
1770106749.13284,270,-105.17951202392578
1770106754.0943022,280,-108.05667114257812
1770106758.862671,290,-103.93347930908203
1770106763.8552034,300,-103.83349609375
1770106768.600178,310,-102.22254180908203
1770106773.4412403,320,-102.24285888671875
1770106778.4800692,330,-101.8048324584961
1770106783.43805,340,-103.95989990234375
1770106788.3193448,350,-104.06742858886719
1770106793.571098,360,-100.84049224853516
1770106798.595087,370,-101.65997314453125
1770106803.6444864,380,-100.47647857666016
1770106808.6635568,390,-98.46897888183594
1770106813.7147665,400,-99.73392486572266
1770106818.624823,410,-99.54248046875
1770106823.597576,420,-99.06941986083984
1770106828.5114095,430,-97.1368179321289
1770106833.3092217,440,-96.8195571899414
1770106838.0930026,450,-97.34598541259766
1770106842.8748434,460,-95.61100006103516
1770106847.816874,470,-95.4284439086914
1770106852.7284467,480,-94.53023529052734
1770106857.7031887,490,-93.659423828125
1770106862.5708401,500,-93.30475616455078
1770106867.488255,510,-92.10897064208984
1770106872.4671383,520,-93.01516723632812
1770106877.3407888,530,-92.73779296875
1770106882.1059682,540,-91.06277465820312
1770106887.0532787,550,-91.85330963134766
1770106891.854873,560,-90.55066680908203
1770106896.758496,570,-89.44763946533203
1770106901.7262027,580,-88.78108215332031
1770106906.5990362,590,-88.088134765625
1770106911.5376549,600,-88.13802337646484
1770106916.3845563,610,-87.34843444824219
1770106921.3041298,620,-86.57362365722656
1770106926.139579,630,-85.77611541748047
1770106931.1235566,640,-86.47350311279297
1770106936.027902,650,-84.5487289428711
1770106940.81785,660,-84.80337524414062
1770106945.8534362,670,-83.55867004394531
1770106950.819075,680,-83.09484100341797
1770106955.6830916,690,-83.22236633300781
1770106960.565914,700,-82.9248275756836
1770106965.512013,710,-83.1532974243164
1770106970.5230515,720,-81.5983657836914
1770106975.4710896,730,-82.20195007324219
1770106980.3502448,740,-81.5370864868164
1770106985.1619706,750,-80.34227752685547
1770106990.160617,760,-80.77481079101562
1770106995.0894148,770,-79.73664855957031
1770106999.972718,780,-80.38545227050781
1770107004.9326181,790,-79.65662384033203
1770107009.8685262,800,-77.85713195800781
1770107014.791463,810,-77.96572875976562
1770107019.7029624,820,-79.4960708618164
1770107024.5778658,830,-78.90038299560547
1770107029.4484792,840,-78.07642364501953
1770107034.2938085,850,-78.91333770751953
1770107039.2196565,860,-79.2320556640625
1770107044.2536097,870,-77.89761352539062
1770107049.1218655,880,-77.97822570800781
1770107054.01044,890,-77.0538558959961
1770107058.9351497,900,-77.41603088378906
