Wall time,Step,Value
1769944645.9608264,10,-121.9504165649414
1769944651.7394655,20,-126.4481201171875
1769944658.021244,30,-125.42864227294922
1769944664.018389,40,-124.44920349121094
1769944669.4729257,50,-126.2995834350586
1769944674.8553011,60,-124.60270690917969
1769944680.2206516,70,-119.27886962890625
1769944685.542166,80,-121.22311401367188
1769944690.8828697,90,-126.03591918945312
1769944696.2962193,100,-122.17984008789062
1769944701.2628527,110,-122.37648010253906
1769944706.1978753,120,-121.111328125
1769944711.407821,130,-119.95642852783203
1769944716.381741,140,-120.80489349365234
1769944721.334177,150,-117.96248626708984
1769944726.466897,160,-121.08749389648438
1769944731.6983724,170,-117.45150756835938
1769944736.8085685,180,-116.08670806884766
1769944741.8618946,190,-115.15059661865234
1769944746.8052125,200,-121.7005844116211
1769944751.8240883,210,-116.51142120361328
1769944756.9231079,220,-115.46883392333984
1769944762.1386716,230,-113.73739624023438
1769944767.485988,240,-116.98785400390625
1769944772.8158448,250,-114.39167022705078
1769944778.1756995,260,-111.8260269165039
1769944783.3895545,270,-115.18399047851562
1769944788.7267814,280,-116.20713806152344
1769944794.0932894,290,-113.21724700927734
1769944799.4685128,300,-113.39698791503906
1769944804.802515,310,-110.3857421875
1769944810.1735718,320,-111.7058334350586
1769944815.4855797,330,-109.7625503540039
1769944820.9109359,340,-111.57666778564453
1769944826.2724392,350,-112.59630584716797
1769944831.9433703,360,-108.38229370117188
1769944837.352226,370,-109.1214828491211
1769944842.686403,380,-108.353271484375
1769944848.1351533,390,-106.78190612792969
1769944853.6628406,400,-107.05717468261719
1769944858.9930208,410,-105.3364486694336
1769944864.2544336,420,-105.45862579345703
1769944869.09195,430,-103.460205078125
1769944873.9232726,440,-103.99987030029297
1769944878.7730558,450,-102.69976043701172
1769944883.5898206,460,-100.28934478759766
1769944888.4818869,470,-100.86056518554688
1769944893.4276283,480,-99.08533477783203
1769944898.376993,490,-99.41510772705078
1769944903.4136229,500,-98.24873352050781
1769944908.3545606,510,-96.59552001953125
1769944913.2760835,520,-97.03827667236328
1769944918.409461,530,-97.93882751464844
1769944923.7061663,540,-94.10679626464844
1769944929.1859374,550,-95.859130859375
1769944934.6019592,560,-93.01604461669922
1769944939.912026,570,-92.44987487792969
1769944945.393103,580,-92.03482818603516
1769944950.766596,590,-91.61100769042969
1769944956.1638281,600,-91.26995086669922
1769944961.4371462,610,-90.81702423095703
1769944966.690574,620,-89.80615234375
1769944972.0192802,630,-89.657470703125
1769944977.4339097,640,-88.61622619628906
1769944982.9134567,650,-87.81584930419922
1769944988.2694368,660,-88.65431213378906
1769944993.5484755,670,-86.83711242675781
1769944998.7619176,680,-87.17583465576172
1769945004.0643501,690,-85.02293395996094
1769945009.4303439,700,-85.8855209350586
1769945014.89916,710,-86.26529693603516
1769945019.8878555,720,-83.73251342773438
1769945024.904032,730,-84.87985229492188
1769945029.7881246,740,-84.2197036743164
1769945034.777117,750,-83.97327423095703
1769945039.7025418,760,-83.15331268310547
1769945044.8948321,770,-82.4411849975586
1769945050.0559423,780,-81.81188201904297
1769945055.139537,790,-82.16669464111328
1769945060.436147,800,-81.60999298095703
1769945065.834858,810,-81.63552856445312
1769945071.1055295,820,-81.31713104248047
1769945076.3716285,830,-81.49787902832031
1769945081.70844,840,-81.28530883789062
1769945086.9780202,850,-80.83677673339844
1769945091.875338,860,-80.99923706054688
1769945096.7718623,870,-79.8147964477539
1769945101.9385338,880,-80.73738098144531
1769945106.9842346,890,-79.15775299072266
1769945112.0378938,900,-79.33447265625
1769945117.1078038,910,-79.38572692871094
1769945122.003615,920,-78.82484436035156
1769945127.1111019,930,-78.55272674560547
1769945132.6198657,940,-78.92919921875
1769945138.0445538,950,-78.71437072753906
1769945143.337247,960,-78.64623260498047
1769945148.595795,970,-78.46944427490234
1769945153.9870934,980,-78.26535034179688
1769945159.7518137,990,-77.38236236572266
1769945165.06536,1000,-77.1354751586914
1769945170.394912,1010,-76.94855499267578
1769945175.740146,1020,-75.76686096191406
1769945181.0091033,1030,-76.38225555419922
1769945186.319335,1040,-76.39301300048828
1769945191.9313123,1050,-75.82665252685547
1769945197.3277583,1060,-75.64474487304688
1769945202.5336149,1070,-75.83523559570312
1769945207.8129082,1080,-75.7815170288086
1769945213.2790647,1090,-75.96196746826172
1769945218.8186154,1100,-75.7341079711914
1769945224.1605005,1110,-75.84493255615234
1769945229.392312,1120,-75.14775085449219
1769945234.8484197,1130,-75.09072875976562
1769945240.187415,1140,-74.6224136352539
1769945245.5965648,1150,-74.57196807861328
1769945250.994981,1160,-74.29244232177734
