Wall time,Step,Value
1769928604.5728538,10,-97.4886245727539
1769928609.7072086,20,-100.84370422363281
1769928614.8511684,30,-100.61244201660156
1769928619.8350666,40,-100.82262420654297
1769928624.7367203,50,-100.89373016357422
1769928629.7189026,60,-100.26335144042969
1769928634.50622,70,-97.48869323730469
1769928639.3326638,80,-99.18017578125
1769928644.099485,90,-101.31549072265625
1769928648.9511456,100,-99.84870910644531
1769928653.9181087,110,-99.3554458618164
1769928658.870794,120,-98.70586395263672
1769928663.7646134,130,-98.72312927246094
1769928668.668887,140,-98.88726806640625
1769928673.5519419,150,-97.72322082519531
1769928678.6453762,160,-99.86707305908203
1769928683.5424094,170,-97.17247009277344
1769928688.3956666,180,-96.95259857177734
1769928693.4734635,190,-96.58406829833984
1769928698.5379212,200,-100.09420776367188
1769928703.5160067,210,-97.56722259521484
1769928708.6143541,220,-96.62332153320312
1769928714.1836126,230,-95.04279327392578
1769928719.4895344,240,-97.47550964355469
1769928724.6749053,250,-96.23600769042969
1769928729.9649036,260,-94.56814575195312
1769928735.2237878,270,-96.5971908569336
1769928740.4539523,280,-97.47000122070312
1769928745.9476657,290,-95.78617858886719
1769928751.3792288,300,-96.21429443359375
1769928756.7988596,310,-93.88627624511719
1769928761.9435217,320,-95.07136535644531
1769928766.9950798,330,-93.90707397460938
1769928771.9920268,340,-94.6490249633789
1769928777.270045,350,-96.16575622558594
1769928782.5919406,360,-93.59495544433594
1769928787.681224,370,-93.73422241210938
1769928792.8195448,380,-93.64290618896484
1769928798.1207578,390,-92.39812469482422
1769928803.3230221,400,-92.39452362060547
1769928808.3528583,410,-92.2795639038086
1769928813.259454,420,-91.28006744384766
1769928818.4547317,430,-91.27416229248047
1769928823.6088073,440,-91.07942962646484
1769928829.0477033,450,-90.01111602783203
1769928834.3030295,460,-89.54666900634766
1769928839.4244618,470,-89.14173889160156
1769928844.7302008,480,-88.67742919921875
1769928849.7190056,490,-87.87444305419922
1769928854.836224,500,-87.62440490722656
1769928859.9838455,510,-86.6242904663086
1769928864.9910185,520,-87.17735290527344
1769928870.1161664,530,-87.70362854003906
1769928875.2216957,540,-85.39978790283203
1769928880.0775955,550,-86.30490112304688
1769928885.0380006,560,-85.20792388916016
1769928889.947478,570,-84.44110107421875
1769928894.9496477,580,-83.35238647460938
1769928900.0035942,590,-83.57244873046875
1769928904.8923364,600,-83.19758605957031
1769928909.6989996,610,-82.4491195678711
1769928914.8353488,620,-82.3192367553711
1769928919.8972692,630,-81.31442260742188
1769928924.9916582,640,-80.68425750732422
1769928930.0457125,650,-80.10929870605469
1769928935.230343,660,-80.34188842773438
1769928940.305636,670,-79.14192199707031
1769928945.2598202,680,-78.92788696289062
1769928950.1227465,690,-78.00373077392578
1769928955.07808,700,-77.89744567871094
1769928960.1249347,710,-78.42936706542969
1769928965.2099009,720,-77.06999969482422
1769928970.316827,730,-76.95639038085938
1769928975.4370596,740,-76.49559020996094
1769928980.3342605,750,-75.55908966064453
1769928985.223773,760,-75.3190689086914
1769928990.181586,770,-74.12834167480469
1769928995.0926776,780,-74.32096862792969
1769929000.0844493,790,-73.92400360107422
1769929005.1115406,800,-74.02076721191406
1769929010.1936579,810,-73.35175323486328
1769929015.985235,820,-73.33744812011719
1769929021.5252595,830,-72.99819946289062
1769929026.9356914,840,-72.80663299560547
1769929032.2558303,850,-72.98080444335938
1769929037.560936,860,-72.54226684570312
1769929042.8448951,870,-72.45152282714844
1769929048.206538,880,-72.08270263671875
1769929053.6331928,890,-70.77104187011719
1769929058.9916425,900,-71.452880859375
1769929064.391179,910,-70.31424713134766
1769929069.6199632,920,-70.8713150024414
1769929074.9136136,930,-69.78234100341797
1769929080.30009,940,-70.41427612304688
1769929085.6000574,950,-69.9695053100586
1769929090.9110043,960,-69.69557189941406
1769929096.2377527,970,-69.70416259765625
1769929101.5747054,980,-69.17975616455078
1769929106.888583,990,-69.07652282714844
1769929111.9383132,1000,-68.98777770996094
1769929116.943966,1010,-68.13818359375
1769929121.8948283,1020,-67.71453094482422
1769929126.7819564,1030,-68.69959259033203
1769929131.737935,1040,-68.40866088867188
1769929136.6628494,1050,-68.15563201904297
1769929141.7856653,1060,-67.41687774658203
1769929146.8612392,1070,-67.58274841308594
1769929152.0738008,1080,-67.65543365478516
1769929157.3321357,1090,-67.55853271484375
1769929162.742546,1100,-67.53289794921875
1769929168.0431857,1110,-67.45377349853516
1769929173.3010468,1120,-66.50880432128906
1769929178.622871,1130,-66.22994232177734
1769929183.81423,1140,-66.15046691894531
1769929188.9216418,1150,-66.62052917480469
1769929193.9984267,1160,-66.07073974609375
1769929199.028653,1170,-65.92044067382812
1769929204.128447,1180,-66.29570770263672
1769929209.3707936,1190,-66.23927307128906
1769929214.4531293,1200,-65.6112060546875
1769929219.5075305,1210,-66.01123046875
1769929224.5474923,1220,-65.49285125732422
1769929229.5718873,1230,-65.22328186035156
1769929234.7287629,1240,-65.28816986083984
1769929239.9407141,1250,-65.34981536865234
1769929245.0363164,1260,-65.03203582763672
1769929249.9515226,1270,-64.91771697998047
1769929254.8385282,1280,-64.95699310302734
1769929260.108979,1290,-64.80648803710938
1769929265.3528352,1300,-64.50688934326172
1769929270.371317,1310,-64.27921295166016
1769929275.1013794,1320,-64.58008575439453
1769929280.0674734,1330,-64.66263580322266
1769929285.2069926,1340,-64.67733001708984
1769929291.5938253,1350,-64.51403045654297
1769929297.7290199,1360,-64.46720886230469
1769929303.9500608,1370,-64.14779663085938
1769929311.3981016,1380,-64.15879821777344
1769929318.785798,1390,-64.41748809814453
1769929325.87158,1400,-64.19425201416016
1769929331.4071474,1410,-64.1443099975586
1769929338.3406534,1420,-63.74596405029297
1769929345.3824055,1430,-63.736202239990234
1769929352.4468122,1440,-64.02510070800781
1769929358.4352877,1450,-64.2017593383789
1769929365.050255,1460,-63.89858627319336
1769929372.3538508,1470,-63.901859283447266
1769929379.4926298,1480,-63.78232955932617
1769929386.3913383,1490,-63.743778228759766
1769929391.655591,1500,-64.32965087890625
1769929398.8394053,1510,-63.80227279663086
1769929406.2204783,1520,-63.390037536621094
1769929413.5338583,1530,-63.35075759887695
1769929419.3452215,1540,-63.62748336791992
1769929426.0790243,1550,-63.819847106933594
1769929433.266194,1560,-63.84381103515625
1769929440.36049,1570,-63.185691833496094
1769929447.1084876,1580,-63.68101119995117
1769929452.678101,1590,-64.11405181884766
1769929459.8373594,1600,-64.07685852050781
1769929467.0114417,1610,-63.40086364746094
1769929474.1936312,1620,-63.94834518432617
1769929479.833399,1630,-63.769493103027344
1769929486.8300304,1640,-63.398536682128906
1769929493.9797716,1650,-64.01441192626953
1769929501.0360925,1660,-63.507057189941406
1769929507.3857694,1670,-63.411319732666016
1769929513.7342398,1680,-63.174072265625
1769929520.9356768,1690,-63.59731674194336
1769929527.5379953,1700,-63.62086868286133
1769929532.909018,1710,-63.873931884765625
1769929539.1387453,1720,-63.73539733886719
1769929546.4093084,1730,-63.47096252441406
1769929554.10301,1740,-63.298404693603516
1769929561.9033892,1750,-63.52233123779297
1769929568.5983489,1760,-63.52727508544922
1769929575.5713735,1770,-63.880008697509766
1769929583.084455,1780,-63.102657318115234
1769929590.4757414,1790,-63.719505310058594
1769929597.2724357,1800,-63.44145965576172
1769929603.7057197,1810,-63.37635040283203
1769929611.449691,1820,-63.69337463378906
1769929618.9818707,1830,-63.446983337402344
