Wall time,Step,Value
1769944668.1079907,10,-143.81585693359375
1769944673.3959527,20,-148.36737060546875
1769944678.7185347,30,-146.7235565185547
1769944684.0239167,40,-144.79087829589844
1769944689.3496227,50,-148.04324340820312
1769944694.6789937,60,-145.4916229248047
1769944699.7464466,70,-137.77699279785156
1769944704.4931908,80,-139.96630859375
1769944709.531857,90,-146.93214416503906
1769944714.571747,100,-141.01309204101562
1769944719.4954,110,-141.6561279296875
1769944724.5924106,120,-139.78530883789062
1769944729.564044,130,-137.5341033935547
1769944734.8308713,140,-138.83493041992188
1769944739.8413584,150,-134.41973876953125
1769944744.8953154,160,-138.21914672851562
1769944750.1199718,170,-133.5889129638672
1769944755.161296,180,-131.4565887451172
1769944760.2174,190,-129.7900848388672
1769944765.6038933,200,-138.57814025878906
1769944770.9275944,210,-131.191162109375
1769944776.2005053,220,-129.9261474609375
1769944781.485714,230,-127.73271942138672
1769944786.8666027,240,-131.52655029296875
1769944792.1997683,250,-127.85750579833984
1769944797.6827457,260,-124.82968139648438
1769944803.072475,270,-128.7763671875
1769944808.3183403,280,-129.8551025390625
1769944813.7139556,290,-124.9260025024414
1769944819.0835268,300,-125.86915588378906
1769944824.3382847,310,-121.80046844482422
1769944829.8712265,320,-122.65234375
1769944835.3245234,330,-121.3074951171875
1769944840.6078737,340,-122.79481506347656
1769944845.7977102,350,-120.6988754272461
1769944851.219477,360,-118.39253234863281
1769944856.535916,370,-118.27620697021484
1769944861.866234,380,-116.41844940185547
1769944866.9276826,390,-113.4993667602539
1769944871.7696843,400,-114.41529083251953
1769944876.5308774,410,-113.25759887695312
1769944881.3980308,420,-111.29149627685547
1769944886.2733529,430,-109.75442504882812
1769944891.2317843,440,-110.29994201660156
1769944896.1289117,450,-107.57002258300781
1769944901.1518407,460,-105.78651428222656
1769944906.0176108,470,-105.88856506347656
1769944910.9184878,480,-104.72093200683594
1769944915.9071205,490,-105.87093353271484
1769944921.0222597,500,-103.9874267578125
1769944926.3352015,510,-101.47517395019531
1769944931.7011058,520,-102.8336181640625
1769944937.110364,530,-102.50147247314453
1769944942.4968233,540,-99.60848999023438
1769944947.8191059,550,-100.1519775390625
1769944952.9916685,560,-98.41236877441406
1769944958.299408,570,-97.18336486816406
1769944963.5936918,580,-97.05560302734375
1769944968.8198323,590,-96.69316864013672
1769944974.1937106,600,-95.6836166381836
1769944979.5565374,610,-94.8343505859375
1769944984.8773286,620,-95.25272369384766
1769944990.3100014,630,-94.2225341796875
1769944995.667667,640,-93.45405578613281
1769945000.8967526,650,-91.67899322509766
1769945006.161595,660,-93.19282531738281
1769945011.4560573,670,-90.78315734863281
1769945016.4987001,680,-90.47023010253906
1769945021.4429317,690,-90.65998840332031
1769945026.4596016,700,-90.78558349609375
1769945031.405146,710,-90.5645523071289
1769945036.3520606,720,-88.77497863769531
1769945041.5151381,730,-90.2079086303711
1769945046.6219933,740,-88.87252807617188
1769945051.679669,750,-88.32701110839844
1769945056.7128863,760,-88.68244171142578
1769945061.9572442,770,-87.24897003173828
1769945067.449316,780,-87.41905212402344
1769945072.8436532,790,-87.56876373291016
1769945078.071765,800,-86.83647918701172
1769945083.355407,810,-87.00953674316406
1769945088.6057618,820,-87.02067565917969
1769945093.537417,830,-87.30857849121094
1769945098.5078409,840,-86.03067779541016
1769945103.7173007,850,-85.62057495117188
1769945108.7977674,860,-86.05797576904297
1769945113.6912787,870,-84.54578399658203
1769945118.5436876,880,-85.54662322998047
1769945123.4330204,890,-84.04733276367188
1769945128.543454,900,-84.13987731933594
1769945133.9836276,910,-84.16971588134766
1769945139.2517397,920,-83.89363861083984
1769945144.6188693,930,-83.92364501953125
1769945149.93538,940,-84.09443664550781
1769945155.443003,950,-83.69060516357422
1769945161.0558848,960,-83.2885971069336
1769945166.4492323,970,-83.55131530761719
1769945171.829184,980,-82.69152069091797
1769945177.1263452,990,-82.70801544189453
1769945182.4053504,1000,-82.66277313232422
1769945187.8997412,1010,-82.48114013671875
1769945193.1020253,1020,-80.88451385498047
1769945198.3070827,1030,-81.81159210205078
1769945203.573018,1040,-82.21110534667969
1769945208.780863,1050,-82.49166107177734
1769945213.9373634,1060,-81.59697723388672
1769945219.2503653,1070,-81.51805877685547
1769945224.6132302,1080,-80.99043273925781
1769945229.8893702,1090,-81.38272857666016
1769945235.3535774,1100,-81.06011962890625
1769945240.8017175,1110,-80.19924926757812
1769945246.0334532,1120,-81.34873962402344
1769945251.2718296,1130,-80.57760620117188
1769945256.4223192,1140,-80.47531127929688
1769945261.8077424,1150,-80.91564178466797
1769945267.3884907,1160,-80.21456146240234
1769945272.7021518,1170,-80.60501098632812
1769945277.7776165,1180,-80.67547607421875
1769945282.917466,1190,-80.42910766601562
1769945288.0164733,1200,-79.61498260498047
1769945292.9879422,1210,-80.09700775146484
1769945298.0070887,1220,-79.70429992675781
1769945303.066598,1230,-80.69506072998047
1769945308.040657,1240,-80.10628509521484
1769945312.976629,1250,-79.92589569091797
1769945317.9774082,1260,-80.25035095214844
1769945323.19204,1270,-79.22496032714844
1769945328.3488207,1280,-79.88858032226562
1769945333.3823829,1290,-79.32723236083984
1769945338.3935957,1300,-79.32487487792969
1769945343.4035826,1310,-79.27197265625
1769945348.4126449,1320,-79.21757507324219
1769945353.4812381,1330,-78.66407012939453
1769945358.5853271,1340,-79.65632629394531
1769945363.742882,1350,-78.89633178710938
1769945368.7469003,1360,-78.83305358886719
1769945373.5734062,1370,-78.93450927734375
1769945378.6047027,1380,-79.16262817382812
1769945383.8235998,1390,-78.518798828125
1769945389.3773425,1400,-78.52079772949219
1769945394.9613261,1410,-79.42534637451172
1769945400.4950967,1420,-79.25828552246094
1769945405.819194,1430,-78.7157974243164
1769945411.096956,1440,-79.31392669677734
1769945416.4199893,1450,-78.79536437988281
1769945421.5466242,1460,-78.448486328125
1769945426.7908514,1470,-78.60757446289062
1769945432.068958,1480,-78.41476440429688
1769945437.2722516,1490,-78.92388153076172
1769945442.551064,1500,-79.44392395019531
1769945447.9501307,1510,-78.95053100585938
1769945453.2816575,1520,-78.78168487548828
1769945458.7802885,1530,-77.97946166992188
1769945464.2208169,1540,-78.31658172607422
1769945469.5068946,1550,-78.45054626464844
1769945474.6944087,1560,-78.54651641845703
1769945479.952048,1570,-78.05033874511719
1769945485.3059685,1580,-78.43482971191406
1769945490.6465364,1590,-78.48152923583984
1769945495.8602073,1600,-77.76422882080078
1769945501.178359,1610,-78.464111328125
1769945506.5035017,1620,-78.92231750488281
1769945511.9551947,1630,-78.8197250366211
1769945517.2930932,1640,-77.749267578125
1769945522.8557365,1650,-79.43618774414062
1769945528.1940117,1660,-78.17513275146484
1769945533.6166723,1670,-78.37452697753906
1769945538.8104093,1680,-78.70488739013672
1769945544.0079432,1690,-78.46507263183594
1769945549.2871087,1700,-77.70947265625
1769945554.5116036,1710,-77.987060546875
1769945559.7429616,1720,-78.8009033203125
1769945564.9826684,1730,-78.16558074951172
1769945570.2005303,1740,-77.76541137695312
1769945575.692417,1750,-78.55567169189453
1769945581.17136,1760,-77.74028015136719
1769945586.6545184,1770,-78.78990936279297
1769945591.9757245,1780,-77.5898666381836
1769945597.0959911,1790,-78.25880432128906
1769945602.3331108,1800,-78.2984619140625
1769945607.695959,1810,-77.87407684326172
1769945613.033715,1820,-78.18352508544922
1769945618.2841663,1830,-77.8642349243164
1769945623.5777724,1840,-78.14684295654297
1769945628.960718,1850,-77.90453338623047
1769945634.3400438,1860,-77.96440887451172
1769945639.6974113,1870,-78.58113861083984
1769945645.1475885,1880,-78.13434600830078
1769945650.5302267,1890,-77.44141387939453
1769945655.9254098,1900,-78.05962371826172
1769945661.2565465,1910,-77.5084457397461
1769945666.5962887,1920,-78.00215911865234
1769945671.8712153,1930,-77.88702392578125
1769945677.1169264,1940,-77.55287170410156
1769945682.3714364,1950,-77.493896484375
1769945687.7286797,1960,-77.74024963378906
1769945693.1078138,1970,-77.7674560546875
1769945698.4393857,1980,-77.16698455810547
1769945703.9020145,1990,-77.79783630371094
1769945709.1845522,2000,-77.9051284790039
1769945714.4722795,2010,-77.77313232421875
1769945719.8367887,2020,-77.9896240234375
1769945725.0487366,2030,-78.5384292602539
1769945730.2612386,2040,-77.1521987915039
1769945735.5223565,2050,-77.19117736816406
1769945740.811038,2060,-77.3985595703125
1769945746.1698134,2070,-77.2691650390625
1769945751.514415,2080,-77.12890625
1769945756.8521667,2090,-77.20875549316406
1769945762.4771752,2100,-77.14328002929688
1769945767.8608954,2110,-77.41275024414062
1769945773.1150267,2120,-77.09889221191406
1769945778.3719947,2130,-77.7938003540039
1769945783.7723863,2140,-77.23149108886719
1769945790.8550968,2150,-77.56394958496094
1769945798.7890706,2160,-77.25035858154297
1769945806.5787985,2170,-77.47952270507812
1769945814.4401643,2180,-76.93538665771484
1769945822.4924812,2190,-77.29438781738281
1769945830.590323,2200,-76.75489807128906
1769945838.3617263,2210,-77.3360366821289
1769945846.254383,2220,-77.42903137207031
1769945854.0894654,2230,-76.42288970947266
1769945861.9833205,2240,-76.73470306396484
1769945869.9779732,2250,-77.14535522460938
1769945877.881238,2260,-76.65196228027344
1769945885.7157784,2270,-77.27066802978516
1769945893.6962798,2280,-76.74503326416016
1769945901.667781,2290,-77.03840637207031
1769945909.6004376,2300,-76.79174041748047
1769945917.6063907,2310,-76.92794036865234
1769945925.4926236,2320,-76.87210083007812
1769945933.3625333,2330,-77.17610168457031
1769945941.4099183,2340,-77.18203735351562
1769945949.31802,2350,-76.35262298583984
1769945957.2851102,2360,-76.95484161376953
1769945965.1610646,2370,-76.54728698730469
1769945972.9831247,2380,-76.90770721435547
1769945980.745049,2390,-76.8954086303711
1769945988.6058948,2400,-76.48751831054688
1769945996.5033476,2410,-77.23262786865234
1769946004.3116565,2420,-76.45992279052734
1769946012.2105563,2430,-76.52477264404297
1769946019.9657314,2440,-76.19304656982422
1769946027.7798853,2450,-76.3692626953125
1769946035.6036174,2460,-76.13911437988281
1769946043.519121,2470,-76.95744323730469
1769946051.2493236,2480,-76.79777526855469
1769946058.7184646,2490,-76.78379821777344
1769946065.9875982,2500,-76.8985595703125
1769946073.4415781,2510,-76.32157135009766
1769946080.6447535,2520,-75.66152954101562
1769946088.230625,2530,-76.47593688964844
1769946095.8975024,2540,-76.0316162109375
1769946103.4574037,2550,-76.58087158203125
1769946110.8986483,2560,-76.04510498046875
1769946118.3921382,2570,-76.09943389892578
1769946125.904161,2580,-75.8345947265625
1769946133.4071724,2590,-75.95003509521484
1769946140.7525723,2600,-76.31307220458984
1769946148.3339674,2610,-76.5337142944336
1769946155.930885,2620,-76.11689758300781
1769946163.3091474,2630,-76.19757080078125
1769946170.3955536,2640,-76.04790496826172
1769946177.8400967,2650,-75.67312622070312
1769946185.1494763,2660,-76.10591888427734
1769946192.3276472,2670,-76.24304962158203
1769946199.6273344,2680,-76.037109375
1769946206.9211917,2690,-76.1125717163086
1769946214.1647577,2700,-76.41452026367188
1769946221.4603968,2710,-75.28532409667969
1769946228.681681,2720,-75.95001220703125
1769946235.8039703,2730,-75.7647476196289
1769946242.9444342,2740,-76.13140106201172
1769946249.6926534,2750,-76.27527618408203
1769946256.5629778,2760,-75.77230072021484
1769946263.4867325,2770,-75.79722595214844
1769946270.229373,2780,-76.20928192138672
1769946276.967853,2790,-75.5713119506836
1769946283.722966,2800,-75.76206970214844
1769946290.9041536,2810,-76.04325866699219
1769946298.1237426,2820,-75.7254409790039
1769946305.3605015,2830,-75.71643829345703
1769946312.5960991,2840,-75.58149719238281
1769946319.619892,2850,-75.7382583618164
1769946327.0127938,2860,-76.0318603515625
1769946334.4455125,2870,-76.15233612060547
1769946341.6243212,2880,-75.76555633544922
1769946348.9875739,2890,-75.7691421508789
1769946356.2021415,2900,-75.8291244506836
1769946363.2989,2910,-76.25654602050781
1769946370.648229,2920,-76.12468719482422
1769946377.7985241,2930,-75.66810607910156
1769946385.0768955,2940,-75.3623275756836
1769946392.4248827,2950,-76.10929107666016
1769946399.7459269,2960,-75.26532745361328
1769946407.0135155,2970,-75.73683166503906
1769946414.274534,2980,-76.1160888671875
1769946421.4140613,2990,-75.51058197021484
1769946428.7374005,3000,-76.23291015625
1769946436.2520144,3010,-75.7459487915039
1769946443.5601068,3020,-75.0112533569336
1769946450.79975,3030,-75.74517822265625
1769946458.0165153,3040,-75.74298095703125
1769946465.2058744,3050,-74.99861145019531
1769946472.645806,3060,-75.52589416503906
1769946479.7794132,3070,-75.6595458984375
1769946486.9395127,3080,-75.75047302246094
1769946494.1420364,3090,-75.89665222167969
1769946501.3114738,3100,-75.74356842041016
1769946508.6378102,3110,-75.56207275390625
1769946515.8155324,3120,-75.87974548339844
1769946523.0964217,3130,-75.5567398071289
1769946530.343628,3140,-75.42762756347656
1769946537.5850708,3150,-75.22559356689453
1769946544.7734954,3160,-75.23589324951172
1769946552.0099943,3170,-75.7402572631836
1769946559.38072,3180,-76.08863067626953
1769946566.6374438,3190,-75.33529663085938
1769946573.913628,3200,-75.50267791748047
1769946581.2207778,3210,-75.23179626464844
1769946588.308184,3220,-75.87466430664062
1769946595.5389872,3230,-75.72791290283203
1769946602.7621586,3240,-74.93569946289062
1769946610.1215916,3250,-75.4677505493164
1769946617.311712,3260,-75.47688293457031
1769946624.6480265,3270,-75.5556411743164
1769946631.9734313,3280,-75.5420150756836
1769946639.188932,3290,-75.24307250976562
1769946646.4958572,3300,-75.17801666259766
1769946653.9573457,3310,-75.2647476196289
1769946661.12387,3320,-75.427734375
1769946668.265062,3330,-75.39701843261719
1769946675.4612405,3340,-75.41272735595703
1769946682.7464788,3350,-74.66513061523438
1769946689.972443,3360,-74.9603042602539
1769946697.3631608,3370,-75.31324005126953
1769946704.555372,3380,-74.95333862304688
1769946711.7365527,3390,-75.2720947265625
1769946719.0117407,3400,-75.36084747314453
1769946726.1331737,3410,-75.63882446289062
1769946733.3456776,3420,-75.38712310791016
1769946740.6039915,3430,-75.6711654663086
1769946748.0101132,3440,-75.63640594482422
1769946755.2718825,3450,-75.2987060546875
1769946762.5345495,3460,-75.20672607421875
1769946769.8007805,3470,-75.83351135253906
1769946777.160898,3480,-75.14349365234375
1769946784.4140627,3490,-75.01394653320312
1769946791.5794673,3500,-75.09272766113281
1769946798.8974254,3510,-75.85726165771484
1769946806.096972,3520,-75.07380676269531
1769946813.3883798,3530,-75.359375
1769946820.6725101,3540,-75.47904968261719
1769946827.9506133,3550,-75.28013610839844
1769946835.2644067,3560,-75.27552795410156
1769946842.6437593,3570,-75.1855697631836
1769946849.8188381,3580,-75.3996810913086
1769946856.9631836,3590,-75.10304260253906
1769946864.1764014,3600,-75.42206573486328
1769946871.6122034,3610,-75.01698303222656
1769946878.9044282,3620,-75.11782836914062
1769946886.188738,3630,-75.21416473388672
1769946893.5390632,3640,-74.91016387939453
1769946900.6903574,3650,-74.92069244384766
1769946908.13473,3660,-75.44865417480469
1769946915.3973408,3670,-75.2554931640625
1769946922.6385257,3680,-75.284912109375
